btc_return,current_token_price,eth_return,month,name,token/btc_return,token/eth_return,token_return,token_sale_price,usd_raised
3.48x,0.273,2.09x,Jun 2017,Wagerr,1.23x,2.05x,4.28x,0.064,10837500.0
15.49x,1.516,54.76x,Sep 2016,Iconomi,0.78x,0.22x,12.06x,0.126,10682516.42
1.21x,0.267,2.02x,Nov 2017,Micromoney,0.31x,0.18x,0.37x,0.72,10541744.0
1.14x,0.026,1.48x,Nov 2017,Mercury Protocol,0.33x,0.26x,0.38x,0.068,10485537.89
3.67x,0.189,2.48x,Jul 2017,Rialto,0.39x,0.57x,1.42x,0.133,10002846.9
3.80x,0.064,2.57x,Jun 2017,AdToken,1.68x,2.48x,6.38x,0.01,10000000.0
7.94x,0.0,16.16x,Apr 2017,Blockchain Capital Fund,,,,1.0,10000000.0
2.82x,0.035,2.37x,Aug 2017,Poet,1.93x,2.29x,5.43x,0.006,10000000.0
0.57x,0.261,1.01x,Dec 2017,Gifto,13.76x,7.76x,7.82x,0.033,10000000.0
0.82x,0.11,0.68x,Jan 2018,Devery,0.80x,0.97x,0.66x,0.167,10000000.0
3.47x,0.066,3.10x,Aug 2017,District0X,1.16x,1.30x,4.02x,0.016,9789540.55
2.05x,1.118,2.10x,Sep 2017,Revain,10.79x,10.53x,22.10x,0.051,9690728.96
2.05x,0.072,2.13x,Sep 2017,Indorse,0.11x,0.10x,0.22x,0.329,9033954.5
1.14x,0.036,1.48x,Nov 2017,Starbase,0.65x,0.51x,0.75x,0.048,9000000.0
2.99x,0.178,3.28x,Sep 2017,Bitdice,0.48x,0.43x,1.42x,0.125,8746735.0
13.42x,0.313,69.50x,Nov 2016,Golem,2.23x,0.43x,29.88x,0.01,8596000.0
1.93x,3.315,1.81x,Sep 2017,Chrono Logic,0.16x,0.17x,0.31x,10.637,8259637.48
3.69x,3878.15,2.40x,Jun 2017,Primalbase,0.13x,0.20x,0.49x,7912.595,7912595.0
3.69x,0.572,2.40x,Jun 2017,NVO,0.30x,0.46x,1.10x,0.52,7798041.87
0.57x,0.0,1.00x,Dec 2017,GUTS Tickets,,,,0.776,7684789.95
7.16x,5.494,10.01x,Apr 2017,TaaS,0.77x,0.55x,5.49x,1.0,7569373.61
13.18x,0.088,67.24x,Oct 2016,SingularDTV,0.44x,0.09x,5.84x,0.015,7500000.0
3.75x,0.183,3.13x,Jun 2017,Patientory,0.48x,0.57x,1.78x,0.103,7200000.0
1.44x,0.201,2.22x,Nov 2017,Spankchain,5.84x,3.79x,8.39x,0.024,7175143.57
3.34x,1.431,2.49x,Jun 2017,ZrCoin,0.30x,0.41x,1.01x,1.417,7070000.0
2.26x,1.542,2.37x,Aug 2017,Blockcat,0.89x,0.85x,2.02x,0.765,7034926.72
3.66x,0.481,3.40x,Jul 2017,Blocktix,0.70x,0.75x,2.55x,0.189,6981328.0
4.00x,0.358,3.35x,Jul 2017,Insurex,0.62x,0.74x,2.47x,0.145,6949290.3
0.95x,0.035,1.64x,Nov 2017,Datum,3.56x,2.07x,3.39x,0.01,6752636.93
22.79x,15.042,59.19x,Mar 2016,Lisk,8.63x,3.32x,196.71x,0.076,6500000.0
3.46x,0.963,3.41x,Jul 2017,Trueflip,0.30x,0.30x,1.03x,0.94,5869919.0
2.15x,0.028,2.11x,Aug 2017,Opus,0.30x,0.30x,0.64x,0.044,5825148.1
8.31x,1.837,15.73x,Apr 2017,Aeternity - Phase 1,5.30x,2.80x,44.06x,0.042,5800000.0
8.31x,0.299,15.73x,Apr 2017,Matchpool,0.38x,0.20x,3.15x,0.095,5700000.0
21.65x,333.466,91.76x,Mar 2016,DigixDAO,4.76x,1.12x,103.07x,3.235,5500000.0
15.68x,0.253,53.59x,Sep 2016,FirstBlood,0.25x,0.07x,3.94x,0.064,5500000.0
9.35x,20.253,54.33x,Feb 2017,ChronoBank,0.28x,0.05x,2.66x,7.604,5400000.0
0.60x,0.182,0.72x,Jan 2018,Aurora,4.54x,3.83x,2.74x,0.066,5308130.87
39.65x,38.618,1017.07x,Oct 2015,Augur,1.62x,0.06x,64.12x,0.602,5300000.0
7.15x,0.206,11.29x,Apr 2017,Humaniq,0.70x,0.45x,5.03x,0.041,5163000.0
3.80x,0.183,2.38x,Jun 2017,Air platform,0.24x,0.38x,0.91x,0.201,5109780.64
3.71x,1.05,2.32x,Jun 2017,DCORP,0.45x,0.73x,1.68x,0.624,5048937.0
3.62x,1.14,2.57x,Jul 2017,Starta,0.31x,0.44x,1.14x,1.0,5033960.0
8.07x,0.268,14.76x,Apr 2017,WeTrust,0.53x,0.29x,4.28x,0.063,5000000.0
0.92x,3.084,1.57x,Nov 2017,Hacken,3.13x,1.83x,2.88x,1.071,4976169.69
4.22x,0.155,3.52x,Jul 2017,Mothership,1.07x,1.28x,4.51x,0.034,4819379.31
1.17x,0.104,1.71x,Nov 2017,Flixxo,1.19x,0.81x,1.39x,0.075,4721733.48
2.15x,0.321,2.02x,Aug 2017,Rex,0.57x,0.61x,1.23x,0.262,4532921.25
3.82x,0.022,1.94x,Jun 2017,Ecobit,0.58x,1.13x,2.20x,0.01,4500000.0
3.53x,0.015,3.44x,Jul 2017,Dent,8.88x,9.11x,31.31x,0.0,4386168.09
3.85x,1.148,3.69x,May 2017,Quantum Resistant Ledger,2.79x,2.91x,10.76x,0.107,4160000.0
13.24x,0.689,64.58x,Nov 2016,Decent,0.49x,0.10x,6.43x,0.107,4126300.0
2.15x,0.145,2.11x,Aug 2017,Obsidian,0.33x,0.34x,0.71x,0.204,4073497.39
2.79x,0.083,2.61x,Aug 2017,Investfeed,1.41x,1.51x,3.94x,0.021,4047928.84
2.26x,0.342,2.41x,Sep 2017,ALIS,1.49x,1.40x,3.37x,0.102,3842393.67
15.33x,91.903,60.78x,Sep 2016,Antshares,31.90x,8.05x,488.99x,0.188,3758871.0
